STOP_ID_ANONY,STOP_FRISK_DATE,STOP_FRISK_TIME,MONTH2,DAY2,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,STOP_ID_ANONY-2,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,STOP_ID_ANONY-1,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR
4041,9/22/2019,23:56:00,September,Sunday,,P,PSB,41,B,TIFFANY STREET && BARRY STREET,TIFFANY STREET,1014230,236561,,PBBX,BRONX,4041,PETIT LARCENY,1,1,1,1,1,1,0,0,1,1,4041,POF,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),(null),27,FEMALE,WHITE HISPANIC,5,110,THN,BRO,BLN
4042,9/25/2019,15:00:00,September,Wednesday,O,P,PSB,41,A,GARRISON AVENUE && BRYANT AVENUE,GARRISON AVENUE,1015458,238417,,PBBX,BRONX,4042,BURGLARY,0,0,0,0,1,0,0,0,0,0,4042,POM,41,SGT,41,0,0,1,1,0,0,1,0,0,0,(null),Y,50,MALE,WHITE HISPANIC,5.8,180,MED,BRO,BLK
4043,9/25/2019,23:39:00,September,Wednesday,O,P,PSB,41,B,TIFFANY STREET && BARRY STREET,TIFFANY STREET,1014230,236561,,PBBX,BRONX,4043,AUTO STRIPPIG,0,1,0,0,0,0,0,0,0,0,4043,POM,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),Y,13,MALE,WHITE HISPANIC,5.9,150,THN,BRO,BLK
4044,9/24/2019,19:51:00,September,Tuesday,,,,41,C,INTERVALE AVENUE && WESTCHESTER AVENUE,INTERVALE AVENUE,1012791,238814,,PBBX,BRONX,4044,CPW,0,0,0,0,0,0,0,0,0,0,4044,POM,41,SGT,41,0,0,1,1,0,1,0,0,0,0,(null),(null),36,MALE,WHITE HISPANIC,5.9,170,MED,BRO,BLD
4045,9/26/2019,19:51:00,September,Thursday,O,P,PSB,41,C,KELLY STREET && EAST 167 STREET,KELLY STREET,1013082,240227,,PBBX,BRONX,4045,CPW,0,1,1,0,1,0,0,0,0,0,4045,POM,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),Y,,MALE,BLACK,5.5,150,THN,BLK,BLK
4046,9/26/2019,19:51:00,September,Thursday,O,P,PSB,41,C,EAST 167 STREET && KELLY STREET,EAST 167 STREET,1013082,240227,,PBBX,BRONX,4046,CPW,0,1,0,0,0,0,0,0,0,0,4046,POM,41,SGT,41,1,0,0,0,0,0,1,0,0,0,(null),(null),,MALE,BLACK,5.8,190,U,ZZZ,BLK
4047,9/26/2019,20:19:00,September,Thursday,O,P,PSB,41,C,677 BECK STREET,BECK STREET,1011622,236151,,PBBX,BRONX,4047,CPW,0,1,0,0,0,0,0,0,0,0,4047,POM,41,SGT,41,0,0,1,0,0,0,0,0,0,0,Y,(null),25,MALE,WHITE HISPANIC,5.11,190,MED,BRO,BLK
4049,9/27/2019,20:58:00,September,Friday,,,,41,A,FAILE STREET && GILBERT PLACE,FAILE STREET,1015419,237298,,PBBX,BRONX,4049,CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,0,0,0,0,0,0,0,0,0,0,4049,POF,41,LT,41,1,0,0,0,0,0,0,0,0,0,Y,(null),31,MALE,BLACK,5.9,145,MED,BRO,BLK
4050,9/21/2019,17:58:00,September,Saturday,,,,41,C,766 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,1012710,236354,,PBBX,BRONX,4050,OTHER,0,0,0,0,0,0,0,0,0,0,4050,POM,41,LT,41,1,0,0,0,0,0,1,0,0,0,Y,(null),30,MALE,BLACK HISPANIC,6,190,THN,BRO,BLK
4051,9/21/2019,18:36:00,September,Saturday,,,,41,C,INTERVALE AVENUE && EAST 163 STREET,INTERVALE AVENUE,1012788,238406,,PBBX,BRONX,4051,ROBBERY,0,0,0,0,0,0,0,0,0,0,4051,POM,41,LT,41,1,0,0,0,1,1,0,0,0,0,(null),(null),19,MALE,WHITE HISPANIC,5.1,140,THN,BRO,BLK
