STOP_ID_ANONY,STOP_FRISK_DATE,STOP_FRISK_TIME,MONTH2,DAY2,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,STOP_ID_ANONY-2,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,STOP_ID_ANONY-1,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR
1,1/2/2019,14:30:00,January,Wednesday,I,P,PSB,1,C,230 VESEY STREET,VESEY STREET,979667,199737,,PBMS,MANHATTAN,1,PETIT LARCENY,0,1,0,1,1,0,0,0,0,0,1,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),30,MALE,BLACK,5.11,230,HEA,BRO,BLK
2,1/8/2019,02:30:00,January,Tuesday,O,P,PSB,1,C,9 WHITE STREET,WHITE STREET,982650,201326,,PBMS,MANHATTAN,2,GRAND LARCENY,1,0,1,0,0,0,0,0,0,0,2,POM,1,SGT,1,0,0,1,1,0,0,0,0,0,0,Y,(null),22,MALE,BLACK,5.1,190,MED,BRO,BLK
4,1/14/2019,21:21:00,January,Monday,O,P,PSB,1,,GRAND STREET && 6TH AVE,GRAND STREET,982848,202677,,PBMS,MANHATTAN,4,ROBBERY,0,0,0,0,0,0,0,0,0,0,4,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,,MALE,BLACK,,,(null),(null),(null)
5,1/15/2019,18:50:00,January,Tuesday,O,P,PSB,1,D,32 THOMPSON STREET,THOMPSON STREET,983100,202705,,PBMS,MANHATTAN,5,ASSAULT,1,1,0,0,0,0,0,0,0,0,5,POM,1,SGT,1,0,0,1,1,0,0,1,0,0,0,(null),Y,21,MALE,BLACK,5.9,150,THN,BLK,BLK
6,1/23/2019,06:16:00,January,Wednesday,,P,PSB,1,B,8 STONE STREET,STONE STREET,980765,195773,,PBMS,MANHATTAN,6,BURGLARY,0,1,0,0,0,0,0,0,0,0,6,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),17,MALE,BLACK,5.9,150,MED,BLK,RED
7,1/24/2019,12:16:00,January,Thursday,O,P,PSB,1,B,42 BROADWAY,BROADWAY,980671,196590,,PBMS,MANHATTAN,7,ASSAULT,0,0,0,0,0,0,0,0,0,0,7,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,21,MALE,BLACK,6.2,220,MED,BRO,BLK
8,1/22/2019,06:16:00,January,Tuesday,I,P,PSB,1,B,8 STONE STREET,STONE STREET,980765,195773,,PBMS,MANHATTAN,8,BURGLARY,0,1,0,0,0,0,0,0,0,0,8,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),,MALE,BLACK HISPANIC,5.9,150,MED,BRO,BLK
9,2/4/2019,14:09:00,February,Monday,O,P,PSB,1,A,60 WALL STREET,WALL STREET,981863,196460,,PBMS,MANHATTAN,9,PETIT LARCENY,0,0,0,0,0,0,0,0,0,0,9,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),26,MALE,BLACK,5.7,140,THN,BRO,BLK
10,2/11/2019,09:05:00,February,Monday,S,T,Transit,1,A,NASSAU STREET && FULTON STREET,NASSAU STREET,982103,198029,,PBMS,MANHATTAN,10,MENACING,1,1,1,1,1,0,0,1,0,1,10,POM,861,SGT,861,1,0,0,0,0,1,1,0,0,0,(null),(null),17,MALE,BLACK,5.5,125,THN,BRO,BLK
12,2/20/2019,14:45:00,February,Wednesday,O,P,PSB,1,D,521 BROADWAY,BROADWAY,984502,202578,,PBMS,MANHATTAN,12,GRAND LARCENY,0,0,0,0,0,0,0,0,0,0,12,POM,1,LT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),24,MALE,WHITE HISPANIC,5.9,160,MED,BRO,BLK
13,2/20/2019,14:45:00,February,Wednesday,O,P,PSB,1,D,521 BROADWAY,BROADWAY,984502,202578,,PBMS,MANHATTAN,13,GRAND LARCENY,0,0,0,0,0,0,0,0,0,0,13,POM,1,LT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),21,MALE,BLACK,5.8,150,THN,BRO,BLK
14,2/23/2019,18:41:00,February,Saturday,O,,,1,D,146 GREENE STREET,GREENE STREET,984615,203695,,PBMS,MANHATTAN,14,GRAND LARCENY,0,0,0,0,0,0,0,0,0,0,14,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,Y,(null),53,MALE,BLACK,6.6,200,THN,BRO,BLD
15,2/23/2019,18:41:00,February,Saturday,O,,,1,D,146 GREENE STREET,GREENE STREET,984615,203695,,PBMS,MANHATTAN,15,GRAND LARCENY,0,0,0,0,0,0,0,0,0,0,15,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,Y,(null),49,FEMALE,WHITE,5.1,140,THN,BRO,BRO
18,3/7/2019,14:30:00,March,Thursday,I,P,PSB,1,D,147 MERCER STREET,MERCER STREET,984713,203398,,PBMS,MANHATTAN,18,PETIT LARCENY,1,0,1,0,0,0,0,0,0,0,18,POM,1,SGT,1,0,0,1,1,0,0,1,0,0,0,(null),(null),24,MALE,BLACK,5.11,165,THN,BRO,BLK
19,3/10/2019,22:45:00,March,Sunday,O,P,PSB,1,C,MURRAY STREET && WEST BROADWAY,MURRAY STREET,981442,199546,,PBMS,MANHATTAN,19,ROBBERY,0,0,0,0,0,0,0,0,0,0,19,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,29,MALE,BLACK,5.7,140,THN,BRO,BLK
20,3/10/2019,23:15:00,March,Sunday,I,P,PSB,1,B,4 SOUTH STREET,SOUTH STREET,980875,194871,,PBMS,MANHATTAN,20,PETIT LARCENY,1,1,1,0,1,0,0,0,0,0,20,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),20,MALE,BLACK,6.1,160,THN,BRO,BLK
23,3/18/2019,13:16:00,March,Monday,O,P,PSB,1,C,70 MURRAY STREET,MURRAY STREET,981319,199612,,PBMS,MANHATTAN,23,ROBBERY,0,0,0,0,0,0,0,0,0,0,23,POF,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),21,MALE,BLACK,6.2,180,MED,BLK,BLK
24,3/26/2019,13:10:00,March,Tuesday,I,P,PSB,1,C,250 BROADWAY,BROADWAY,982226,199035,,PBMS,MANHATTAN,24,PETIT LARCENY,1,0,1,0,0,0,0,0,0,0,24,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),36,FEMALE,BLACK HISPANIC,5.4,115,THN,ZZZ,BRO
25,3/29/2019,21:25:00,March,Friday,S,T,Transit,1,A,WALL STREET && WILLIAM STREET,WALL STREET,981615,196630,,PBMS,MANHATTAN,25,CPW,1,0,1,0,0,0,0,0,1,1,25,POM,1,LT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),40,MALE,BLACK,5.7,210,HEA,BRO,GRY
26,4/1/2019,18:44:00,April,Monday,,,,1,D,149 MERCER STREET,MERCER STREET,984724,203415,,PBMS,MANHATTAN,26,GRAND LARCENY,1,0,1,0,0,0,0,0,0,0,26,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),12,MALE,WHITE,5.2,110,THN,BRO,BRO
27,4/1/2019,18:44:00,April,Monday,,,,1,D,149 MERCER STREET,MERCER STREET,984724,203415,,PBMS,MANHATTAN,27,GRAND LARCENY,0,0,0,0,0,0,0,0,0,0,27,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),15,MALE,WHITE,5.3,110,THN,BRO,BLK
28,4/1/2019,18:44:00,April,Monday,I,,,1,D,149 MERCER STREET,MERCER STREET,984724,203415,,PBMS,MANHATTAN,28,GRAND LARCENY,0,0,0,0,0,0,0,0,0,0,28,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),15,MALE,WHITE,5.8,140,THN,BRO,BRO
29,4/1/2019,18:44:00,April,Monday,,,,1,D,149 MERCER STREET,MERCER STREET,984724,203415,,PBMS,MANHATTAN,29,GRAND LARCENY,0,0,0,0,0,0,0,0,0,0,29,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),15,MALE,WHITE HISPANIC,5.8,140,THN,BRO,BLK
30,4/2/2019,20:25:00,April,Tuesday,S,P,PSB,1,B,SOUTH STREET && WHITEHALL STREET,SOUTH STREET,980772,194845,,PBMS,MANHATTAN,30,ROBBERY,0,0,0,0,0,0,0,0,0,0,30,POM,861,SSA,861,1,0,0,0,0,0,1,0,0,0,(null),(null),31,MALE,BLACK,5.8,280,HEA,BRO,BLK
31,4/2/2019,20:15:00,April,Tuesday,I,T,Transit,1,B,3 SOUTH STREET,SOUTH STREET,980829,194864,,PBMS,MANHATTAN,31,ROBBERY,0,0,0,0,0,0,0,0,0,0,31,POM,447,SGT,447,1,0,0,0,0,0,1,0,0,0,(null),Y,29,MALE,BLACK,6,160,THN,BRO,BLK
32,4/7/2019,16:34:00,April,Sunday,O,P,PSB,1,C,195 BROADWAY,BROADWAY,981650,198144,,PBMS,MANHATTAN,32,GRAND LARCENY,0,0,0,0,0,0,0,0,0,0,32,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,34,MALE,BLACK,5.9,140,THN,BRO,BLK
33,4/7/2019,12:03:00,April,Sunday,I,P,PSB,1,C,250 BROADWAY,BROADWAY,982226,199035,,PBMS,MANHATTAN,33,CRIMINAL TRESPASS,0,0,1,1,1,0,0,0,0,0,33,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),60,FEMALE,ASIAN / PACIFIC ISLANDER,5.1,145,MED,BRO,BLK
35,4/13/2019,14:08:00,April,Saturday,O,,,1,D,BROOME STREET && GREENE STREET,BROOME STREET,983861,202523,,PBMS,MANHATTAN,35,GRAND LARCENY AUTO,0,0,0,1,1,0,0,0,0,0,35,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,Y,27,MALE,BLACK,5.3,120,MED,BRO,BLK
36,4/13/2019,14:08:00,April,Saturday,O,,,1,D,BROOME STREET && GREENE STREET,BROOME STREET,983861,202523,,PBMS,MANHATTAN,36,GRAND LARCENY AUTO,0,0,0,0,0,0,0,0,0,0,36,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,Y,25,MALE,BLACK,6,150,MED,BRO,BLK
37,4/13/2019,14:08:00,April,Saturday,O,,,1,D,BROOME STREET && GREENE STREET,BROOME STREET,983861,202523,,PBMS,MANHATTAN,37,GRAND LARCENY AUTO,0,0,0,0,0,0,0,0,0,0,37,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,Y,25,MALE,BLACK,6,140,MED,BRO,BLK
38,4/23/2019,14:22:00,April,Tuesday,,,,1,D,BROADWAY && HOWARD STREET,BROADWAY,983855,201569,,PBMS,MANHATTAN,38,PETIT LARCENY,1,0,1,0,0,0,0,0,0,0,38,POM,1,LT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,50,MALE,WHITE,5.1,200,MED,HAZ,GRY
39,4/24/2019,13:05:00,April,Wednesday,O,P,PSB,1,A,160 BROADWAY,BROADWAY,981411,197764,,PBMS,MANHATTAN,39,ASSAULT,0,1,0,0,1,0,0,0,0,0,39,POM,1,LT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),32,MALE,BLACK,6,180,THN,BRO,BLK
40,5/7/2019,13:47:00,May,Tuesday,,,,1,A,100 BEEKMAN STREET,BEEKMAN STREET,983260,197325,,PBMS,MANHATTAN,40,CPW,0,1,1,0,1,0,1,0,0,1,40,POM,1,SGT,1,1,0,0,0,0,1,0,0,0,0,(null),(null),75,MALE,WHITE,5.7,150,THN,BRO,GRY
41,5/9/2019,17:40:00,May,Thursday,O,P,PSB,1,C,133 GREENWICH STREET,GREENWICH STREET,980665,197755,,PBMS,MANHATTAN,41,PETIT LARCENY,0,0,0,0,0,0,0,0,0,0,41,POM,574,SGT,574,1,0,0,0,0,0,1,0,0,0,(null),(null),18,MALE,BLACK,5.8,160,THN,BRO,BLK
42,5/9/2019,17:40:00,May,Thursday,O,P,PSB,1,C,GREENWICH STREET && THAMES STREET,GREENWICH STREET,980648,197714,,PBMS,MANHATTAN,42,PETIT LARCENY,0,0,0,0,0,0,0,0,0,0,42,POM,574,SGT,574,1,0,0,0,0,0,1,0,0,0,(null),(null),18,MALE,BLACK,6.2,185,THN,BRO,BLK
43,5/9/2019,17:40:00,May,Thursday,,P,PSB,1,C,GREENWICH STREET && THAMES STREET,GREENWICH STREET,980648,197714,,PBMS,MANHATTAN,43,PETIT LARCENY,0,0,0,0,0,0,0,0,0,0,43,POM,574,SGT,574,1,0,0,0,0,0,1,0,0,0,(null),(null),18,MALE,BLACK,5.7,200,MED,BRO,BLK
45,5/16/2019,17:51:00,May,Thursday,O,P,PSB,1,D,41 GREENE STREET,GREENE STREET,983726,202322,,PBMS,MANHATTAN,45,PETIT LARCENY,1,0,0,0,0,0,0,0,0,0,45,POM,1,SGT,1,0,0,1,1,0,0,1,0,0,0,(null),(null),24,MALE,BLACK,6,230,HEA,BLK,BLK
46,5/7/2019,13:47:00,May,Tuesday,O,P,PSB,1,A,100 BEEKMAN STREET,BEEKMAN STREET,983260,197325,,PBMS,MANHATTAN,46,CPW,0,0,0,0,0,0,0,0,0,0,46,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,Y,(null),63,MALE,WHITE,6.1,200,MED,BRO,BRO
47,5/27/2019,23:05:00,May,Monday,S,P,PSB,1,C,FRANKLIN STREET && VARICK STREET,FRANKLIN STREET,982327,201274,,PBMS,MANHATTAN,47,ROBBERY,1,0,1,0,0,0,0,0,0,0,47,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,Y,Y,14,MALE,AMERICAN INDIAN/ALASKAN N,5.8,145,MED,BRO,BLK
48,5/27/2019,23:05:00,May,Monday,S,P,PSB,1,C,FRANKLIN STREET && VARICK STREET,FRANKLIN STREET,982327,201274,,PBMS,MANHATTAN,48,ROBBERY,1,0,1,0,0,0,0,0,0,0,48,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,Y,15,MALE,WHITE HISPANIC,5.8,150,MED,BRO,BRO
49,5/27/2019,23:05:00,May,Monday,S,P,PSB,1,C,FRANKLIN STREET && VARICK STREET,FRANKLIN STREET,982327,201274,,PBMS,MANHATTAN,49,ROBBERY,1,0,1,0,0,1,0,0,0,0,49,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,Y,15,MALE,BLACK,5.6,130,MED,BRO,BLK
50,5/27/2019,23:05:00,May,Monday,S,P,PSB,1,C,FRANKLIN STREET && VARICK STREET,FRANKLIN STREET,982327,201274,,PBMS,MANHATTAN,50,ROBBERY,1,0,1,0,0,1,0,0,0,0,50,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,Y,14,MALE,WHITE HISPANIC,5.7,120,MED,BRO,BLK
51,5/28/2019,14:05:00,May,Tuesday,,P,PSB,1,C,225 LIBERTY STREET,LIBERTY STREET,980070,198398,,PBMS,MANHATTAN,51,PETIT LARCENY,0,1,1,1,1,0,0,0,0,0,51,POM,1,LT,1,1,0,0,0,0,0,1,0,0,0,Y,(null),66,MALE,WHITE,5.11,130,THN,BLU,GRY
52,6/9/2019,00:45:00,June,Sunday,,,,1,A,FRONT STREET && PECK SLIP,FRONT STREET,983814,197150,,PBMS,MANHATTAN,52,ASSAULT,0,0,0,0,0,0,0,0,0,0,52,POF,1,LT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),24,FEMALE,WHITE HISPANIC,5.6,130,THN,BRO,GRY
53,6/9/2019,00:45:00,June,Sunday,,,,1,A,FRONT STREET && PECK SLIP,FRONT STREET,983814,197150,,PBMS,MANHATTAN,53,ASSAULT,0,0,0,0,0,0,0,0,0,0,53,POF,1,LT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),26,MALE,WHITE HISPANIC,5.9,160,MED,BRO,BLK
54,6/9/2019,00:45:00,June,Sunday,,,,1,A,FRONT STREET && PECK SLIP,FRONT STREET,983814,197150,,PBMS,MANHATTAN,54,ASSAULT,1,0,1,0,0,1,0,0,0,0,54,POF,1,LT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),25,MALE,WHITE HISPANIC,5.9,160,MED,BRO,BLK
55,6/9/2019,00:45:00,June,Sunday,,,,1,A,FRONT STREET && PECK SLIP,FRONT STREET,983814,197150,,PBMS,MANHATTAN,55,ASSAULT,1,0,1,0,0,0,0,0,0,0,55,POF,1,LT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),26,FEMALE,WHITE HISPANIC,5.5,120,THN,BRO,BLN
56,5/25/2019,04:30:00,May,Saturday,O,P,PSB,1,D,WATTS STREET && VARICK STREET,WATTS STREET,982555,202957,,PBMS,MANHATTAN,56,CPW,0,1,0,0,0,0,0,0,0,0,56,POM,1,LT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),35,MALE,BLACK,6.2,250,HEA,BRO,BLD
57,6/13/2019,12:35:00,June,Thursday,O,P,PSB,1,D,555 BROOME STREET,BROOME STREET,982687,203178,,PBMS,MANHATTAN,57,ASSAULT,1,0,1,0,0,0,0,0,0,0,57,POM,1,LT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),22,MALE,BLACK,5.6,160,THN,BRO,XXX
58,6/13/2019,12:33:00,June,Thursday,O,,,1,D,555 BROOME STREET,BROOME STREET,982687,203178,,PBMS,MANHATTAN,58,ASSAULT,1,1,1,0,0,0,0,1,0,1,58,POM,1,LT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),22,MALE,BLACK,5.6,140,THN,BRO,BLK
59,6/13/2019,17:07:00,June,Thursday,I,P,PSB,1,B,70 GREENWICH STREET,GREENWICH STREET,980392,196944,,PBMS,MANHATTAN,59,ROBBERY,1,1,1,0,0,0,0,0,0,0,59,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,Y,Y,16,MALE,BLACK,5.6,145,THN,BRO,BLK
60,6/13/2019,17:07:00,June,Thursday,I,P,PSB,1,B,70 GREENWICH STREET,GREENWICH STREET,980392,196944,,PBMS,MANHATTAN,60,ROBBERY,1,1,1,0,0,0,0,0,0,0,60,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,Y,(null),17,MALE,BLACK,5.8,160,THN,BRO,BLK
61,6/13/2019,17:04:00,June,Thursday,O,,,1,C,104 GREENWICH STREET,GREENWICH STREET,980528,197359,,PBMS,MANHATTAN,61,ROBBERY,1,1,1,0,0,0,0,0,0,0,61,POM,1,LT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,16,MALE,BLACK HISPANIC,5.8,160,MED,BRO,BLK
62,6/13/2019,17:05:00,June,Thursday,O,,,1,C,106 GREENWICH STREET,GREENWICH STREET,980535,197381,,PBMS,MANHATTAN,62,ROBBERY,1,1,0,0,0,0,0,0,0,0,62,POM,1,LT,1,0,0,1,1,0,0,1,0,0,0,(null),Y,18,MALE,BLACK,5.8,160,THN,BRO,BLK
63,6/13/2019,17:05:00,June,Thursday,O,,,1,C,106 GREENWICH STREET,GREENWICH STREET,980535,197381,,PBMS,MANHATTAN,63,ROBBERY,1,1,1,0,0,0,0,1,0,0,63,POM,1,LT,1,0,0,1,1,0,0,1,0,0,0,(null),Y,15,MALE,BLACK,5.7,145,THN,BRO,BLK
64,6/15/2019,05:13:00,June,Saturday,I,P,PSB,1,B,4 SOUTH STREET,SOUTH STREET,980875,194871,,PBMS,MANHATTAN,64,PETIT LARCENY,0,0,0,0,0,0,0,0,0,0,64,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,Y,Y,18,MALE,BLACK HISPANIC,6.1,210,MED,BRO,BLK
65,6/15/2019,05:13:00,June,Saturday,I,P,PSB,1,B,4 SOUTH STREET,SOUTH STREET,980875,194871,,PBMS,MANHATTAN,65,PETIT LARCENY,0,0,0,0,0,0,0,0,0,0,65,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,Y,Y,20,MALE,WHITE HISPANIC,5.1,,MED,BRO,BLK
66,6/18/2019,17:17:00,June,Tuesday,,,,1,C,BROADWAY && RECTOR STREET,BROADWAY,980938,197020,,PBMS,MANHATTAN,66,PETIT LARCENY,1,0,1,0,0,0,0,0,0,0,66,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,Y,Y,30,FEMALE,BLACK,5.3,100,THN,BRO,BRO
68,6/24/2019,20:12:00,June,Monday,O,P,PSB,1,C,LIBERTY STREET && TRINITY PLACE,LIBERTY STREET,981014,197835,,PBMS,MANHATTAN,68,CPW,0,0,0,1,0,0,0,0,0,0,68,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,24,MALE,BLACK,6,170,THN,BRO,XXX
69,6/29/2019,15:20:00,June,Saturday,,,,1,A,BROADWAY && JOHN STREET,BROADWAY,981604,198068,,PBMS,MANHATTAN,69,PETIT LARCENY,0,1,1,1,1,0,0,0,0,0,69,POM,876,SGT,876,1,0,0,0,0,0,1,0,0,0,(null),(null),28,MALE,BLACK,5.9,200,HEA,BLK,BLK
70,6/30/2019,09:25:00,June,Sunday,I,,,1,B,4 WHITEHALL STREET,WHITEHALL STREET,980596,195741,,PBMS,MANHATTAN,70,GRAND LARCENY,0,1,0,0,0,0,0,0,0,0,70,POM,447,SGT,447,1,0,0,0,0,0,1,0,0,0,(null),Y,53,MALE,ASIAN / PACIFIC ISLANDER,5.11,170,THN,BRO,BRO
71,7/4/2019,18:00:00,July,Thursday,I,T,Transit,1,B,3 SOUTH STREET,SOUTH STREET,980829,194864,,PBMS,MANHATTAN,71,OTHER,0,1,1,1,1,0,0,0,0,0,71,POM,447,SGT,447,1,0,0,0,0,0,1,0,0,0,(null),(null),,MALE,WHITE,,160,THN,BRO,BLK
72,7/5/2019,22:19:00,July,Friday,O,P,PSB,1,D,WEST HOUSTON STREET && WEST STREET,WEST HOUSTON STREET,981278,204888,,PBMS,MANHATTAN,72,ASSAULT,1,0,1,0,0,0,0,0,0,0,72,POM,1,LT,1,1,0,0,0,0,0,0,0,0,0,Y,Y,18,MALE,WHITE,5.9,150,THN,BRO,BRO
73,7/5/2019,22:19:00,July,Friday,O,P,PSB,1,D,WEST HOUSTON STREET && WEST STREET,WEST HOUSTON STREET,981278,204888,,PBMS,MANHATTAN,73,ASSAULT,0,0,1,1,1,0,0,0,0,0,73,POM,1,LT,1,1,0,0,0,0,0,0,0,0,0,Y,Y,17,MALE,BLACK,5.9,150,THN,BRO,BLK
75,7/8/2019,07:14:00,July,Monday,O,P,PSB,1,C,20 MURRAY STREET,MURRAY STREET,981992,199213,,PBMS,MANHATTAN,75,PETIT LARCENY,1,1,1,0,0,0,0,0,0,0,75,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,53,MALE,WHITE HISPANIC,5.8,150,THN,BRO,BLK
76,7/9/2019,19:13:00,July,Tuesday,O,,,1,C,281 BROADWAY,BROADWAY,982563,199570,,PBMS,MANHATTAN,76,PETIT LARCENY,1,0,1,0,0,0,0,0,0,0,76,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,55,MALE,BLACK,6,195,MED,BRO,BLK
77,7/12/2019,14:32:00,July,Friday,S,T,Transit,1,C,FRANKLIN STREET && VARICK STREET,FRANKLIN STREET,982327,201274,,PBMS,MANHATTAN,77,MENACING,0,1,0,1,1,0,0,0,0,0,77,POM,861,SGT,861,1,0,0,0,0,1,0,0,0,0,(null),(null),74,MALE,WHITE HISPANIC,5.1,180,MED,GRY,GRY
78,7/15/2019,19:50:00,July,Monday,I,,,1,C,39 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,982797,201893,,PBMS,MANHATTAN,78,CPW,0,0,0,0,1,0,0,0,0,0,78,POM,861,SGT,861,1,0,0,0,0,0,1,0,0,0,(null),(null),43,MALE,WHITE,5.1,240,MED,ZZZ,BLN
79,7/21/2019,15:05:00,July,Sunday,S,P,PSB,1,B,2 BROADWAY,BROADWAY,980594,195807,,PBMS,MANHATTAN,79,PETIT LARCENY,1,0,1,1,1,0,0,0,0,0,79,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,56,MALE,BLACK,5.11,175,THN,BRO,BLK
80,7/21/2019,22:05:00,July,Sunday,I,P,PSB,1,D,74 GRAND STREET,GRAND STREET,983478,202289,,PBMS,MANHATTAN,80,BURGLARY,1,1,1,0,0,1,0,0,0,0,80,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,31,MALE,BLACK,6.5,200,THN,BRO,BLK
81,7/26/2019,17:50:00,July,Friday,O,P,PSB,1,C,123 WASHINGTON STREET,WASHINGTON STREET,980363,197635,,PBMS,MANHATTAN,81,GRAND LARCENY AUTO,0,0,0,0,0,0,0,0,0,0,81,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,Y,36,FEMALE,BLACK,5.3,125,THN,BRO,BLK
82,7/27/2019,22:05:00,July,Saturday,I,P,PSB,1,B,30 BROAD STREET,BROAD STREET,981131,196557,,PBMS,MANHATTAN,82,CRIMINAL MISCHIEF,0,0,0,1,1,0,0,0,0,0,82,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,(null),Y,17,MALE,BLACK,5.1,160,THN,BRO,BLK
83,7/27/2019,22:05:00,July,Saturday,I,P,PSB,1,B,30 BROAD STREET,BROAD STREET,981131,196557,,PBMS,MANHATTAN,83,CRIMINAL MISCHIEF,0,0,0,1,1,0,0,0,0,0,83,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,(null),Y,19,MALE,BLACK,5.11,180,MED,BRO,BLK
84,7/28/2019,00:57:00,July,Sunday,O,P,PSB,1,C,BROADWAY && WHITE STREET,BROADWAY,983406,200873,,PBMS,MANHATTAN,84,PETIT LARCENY,1,0,1,0,0,1,0,0,0,0,84,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,24,MALE,WHITE HISPANIC,5.7,150,MED,BRO,BLK
