,stop_id_anony,suspect_arrested_flag,frisked_flag,searched_flag,ask_for_consent_flg,consent_given_flg,other_contraband_flag,firearm_flag,knife_cutter_flag,other_weapon_flag,weapon_found_flag,suspects_actions_casing_flag,suspects_actions_concealed_possession_weapon_flag,suspects_actions_decription_flag,suspects_actions_drug_transactions_flag,suspects_actions_identify_crime_pattern_flag,suspects_actions_lookout_flag,suspects_actions_other_flag,suspects_actions_proximity_to_scene_flag,suspect_reported_age,suspect_height,suspect_weight,female,issuing_officer_rank,issuing_officer_command_code,supervising_officer_rank,supervising_officer_command_code,officer_in_uniform_flag,id_card_identifies_officer_flag,shield_identifies_officer_flag,verbal_identifies_officer_flag,identified_as_cop,stop_frisk_date,stop_frisk_time,year2,month2,day2,location_in_out_code,jurisdiction_code,jurisdiction_description,stop_location_precinct,stop_location_sector_code,stop_location_full_address,stop_location_street_name,stop_location_x,stop_location_y,stop_location_patrol_boro_name,stop_location_boro_name,race,hair_color,build_type,eye_color,suspected.crime
13012,13104.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,6.0,300.0,0.0,POM,121,SSA,121,0,0,1,1,0,2019-06-07,01:21:00,2019,June,Friday,O,P,PSB,121,A,ARLINGTON AVENUE && STATEN ISLAND RAILROAD,ARLINGTON AVENUE,942822,166353,PBSI,STATEN ISLAND,Black,Black,Heavy,Black,Sale of a Conrtolled Substance
13013,13105.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,6.0,150.0,0.0,POM,121,SSA,121,0,0,1,0,0,2019-06-04,20:55:00,2019,June,Tuesday,O,P,PSB,121,A,FOREST AVENUE && UNION AVENUE,FOREST AVENUE,940440,167464,PBSI,STATEN ISLAND,Black,Black,Thin,Black,Robbery
13014,13106.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,6.0,200.0,0.0,POM,121,SSA,121,0,1,0,0,0,2019-06-04,20:55:00,2019,June,Tuesday,O,P,PSB,121,A,FOREST AVENUE && UNION AVENUE,FOREST AVENUE,940440,167464,PBSI,STATEN ISLAND,Black,Black,Medium,Black,Robbery
13015,13107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,6.0,140.0,1.0,POM,121,LT,121,0,0,1,0,0,2019-06-12,12:50:00,2019,June,Wednesday,O,P,PSB,121,C,2800 VICTORY BOULEVARD,VICTORY BOULEVARD,941675,161135,PBSI,STATEN ISLAND,Black,Black,Thin,Black,Theft of Services
13016,13108.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,6.0,145.0,0.0,POM,121,LT,121,0,0,1,1,0,2019-06-12,12:50:00,2019,June,Wednesday,O,P,PSB,121,C,2800 VICTORY BOULEVARD,VICTORY BOULEVARD,941675,161135,PBSI,STATEN ISLAND,Black,Black,Medium,Black,Theft of Services
13017,13109.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,4.0,100.0,1.0,POM,121,LT,121,0,0,1,0,0,2019-06-12,12:50:00,2019,June,Wednesday,O,P,PSB,121,C,2800 VICTORY BOULEVARD,VICTORY BOULEVARD,941675,161135,PBSI,STATEN ISLAND,Black,Black,Thin,Black,Theft of Services
13018,13110.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,6.0,140.0,0.0,POM,121,SSA,121,0,0,1,0,0,2019-06-04,20:55:00,2019,June,Tuesday,O,P,PSB,121,A,FOREST AVENUE && UNION AVENUE,FOREST AVENUE,940440,167464,PBSI,STATEN ISLAND,Black,Black,Medium,Black,Robbery
13019,13111.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,6.0,180.0,0.0,POM,121,LT,121,1,0,0,0,0,2019-06-12,00:00:00,2019,June,Wednesday,O,P,PSB,121,A,BRABANT STREET && SOUTH AVENUE,BRABANT STREET,938083,169635,PBSI,STATEN ISLAND,Black,Black,Medium,Black,Grand Larceny Auto
13020,13112.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,6.0,180.0,0.0,POM,121,LT,121,1,0,0,0,0,2019-06-12,00:00:00,2019,June,Wednesday,O,P,PSB,121,A,BRABANT STREET && SOUTH AVENUE,BRABANT STREET,938083,169635,PBSI,STATEN ISLAND,Black,Black,Medium,Black,Grand Larceny Auto
13021,13113.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,6.0,200.0,0.0,POM,121,LT,121,1,0,0,0,0,2019-06-13,00:51:00,2019,June,Thursday,I,P,PSB,121,B,27 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,947682,172502,PBSI,STATEN ISLAND,White Hispanic,Brown,Heavy,Brown,Robbery
13022,13114.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,6.0,160.0,0.0,POM,121,SGT,121,0,0,1,0,0,2019-06-20,13:02:00,2019,June,Thursday,O,P,PSB,121,D,2975 RICHMOND AVENUE,RICHMOND AVENUE,937059,147925,PBSI,STATEN ISLAND,Black,Black,Thin,Black,Unauthorized Use of a Vehicle
13023,13115.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,6.0,190.0,1.0,POM,121,SGT,121,1,0,0,0,0,2019-06-24,16:34:00,2019,June,Monday,O,T,Transit,121,A,WALKER STREET && VANPELT AVENUE,WALKER STREET,942822,166353,PBSI,STATEN ISLAND,Black,Black,Heavy,Black,Assult
